時間,連線池數,時間字串
2026-03-14 16:52:01,20,2026-03-14 16:52:01
2026-03-14 17:52:01,20,2026-03-14 17:52:01
2026-03-14 17:52:02,20,2026-03-14 17:52:02
2026-03-14 18:52:01,21,2026-03-14 18:52:01
2026-03-14 18:52:02,27,2026-03-14 18:52:02
2026-03-14 19:52:01,22,2026-03-14 19:52:01
2026-03-14 19:52:02,24,2026-03-14 19:52:02
2026-03-14 20:52:01,59,2026-03-14 20:52:01
2026-03-14 20:52:02,61,2026-03-14 20:52:02
2026-03-14 20:52:03,61,2026-03-14 20:52:03
2026-03-14 21:52:01,20,2026-03-14 21:52:01
2026-03-14 21:52:02,25,2026-03-14 21:52:02
2026-03-14 21:52:03,34,2026-03-14 21:52:03
2026-03-14 22:52:01,19,2026-03-14 22:52:01
2026-03-14 22:52:03,20,2026-03-14 22:52:03
2026-03-14 22:52:04,28,2026-03-14 22:52:04
2026-03-14 23:52:01,36,2026-03-14 23:52:01
2026-03-14 23:52:03,37,2026-03-14 23:52:03
2026-03-14 23:52:04,38,2026-03-14 23:52:04
2026-03-15 00:52:02,19,2026-03-15 00:52:02
2026-03-15 00:52:03,25,2026-03-15 00:52:03
2026-03-15 00:52:05,44,2026-03-15 00:52:05
2026-03-15 01:52:02,17,2026-03-15 01:52:02
2026-03-15 01:52:03,30,2026-03-15 01:52:03
2026-03-15 01:52:05,42,2026-03-15 01:52:05
2026-03-15 02:52:02,24,2026-03-15 02:52:02
2026-03-15 02:52:04,37,2026-03-15 02:52:04
2026-03-15 02:52:06,48,2026-03-15 02:52:06
2026-03-15 03:52:02,25,2026-03-15 03:52:02
2026-03-15 03:52:04,40,2026-03-15 03:52:04
2026-03-15 03:52:06,58,2026-03-15 03:52:06
2026-03-15 04:52:02,17,2026-03-15 04:52:02
2026-03-15 04:52:04,35,2026-03-15 04:52:04
2026-03-15 04:52:06,58,2026-03-15 04:52:06
2026-03-15 05:52:02,27,2026-03-15 05:52:02
2026-03-15 05:52:05,48,2026-03-15 05:52:05
2026-03-15 05:52:07,77,2026-03-15 05:52:07
2026-03-15 06:52:02,23,2026-03-15 06:52:02
2026-03-15 06:52:05,36,2026-03-15 06:52:05
2026-03-15 06:52:07,67,2026-03-15 06:52:07
2026-03-15 07:52:02,17,2026-03-15 07:52:02
2026-03-15 07:52:05,42,2026-03-15 07:52:05
2026-03-15 07:52:08,73,2026-03-15 07:52:08
2026-03-15 08:52:03,17,2026-03-15 08:52:03
2026-03-15 08:52:05,43,2026-03-15 08:52:05
2026-03-15 08:52:08,71,2026-03-15 08:52:08
2026-03-15 09:52:03,17,2026-03-15 09:52:03
2026-03-15 09:52:06,43,2026-03-15 09:52:06
2026-03-15 09:52:09,78,2026-03-15 09:52:09
2026-03-15 10:52:03,18,2026-03-15 10:52:03
2026-03-15 10:52:06,48,2026-03-15 10:52:06
2026-03-15 10:52:09,89,2026-03-15 10:52:09
2026-03-15 11:52:03,20,2026-03-15 11:52:03
2026-03-15 11:52:07,52,2026-03-15 11:52:07
2026-03-15 11:52:10,97,2026-03-15 11:52:10
2026-03-15 12:52:03,19,2026-03-15 12:52:03
2026-03-15 12:52:06,50,2026-03-15 12:52:06
2026-03-15 12:52:10,90,2026-03-15 12:52:10
2026-03-15 13:52:03,17,2026-03-15 13:52:03
2026-03-15 13:52:07,53,2026-03-15 13:52:07
2026-03-15 13:52:10,96,2026-03-15 13:52:10
2026-03-15 14:52:03,16,2026-03-15 14:52:03
2026-03-15 14:52:07,50,2026-03-15 14:52:07
2026-03-15 14:52:11,97,2026-03-15 14:52:11
2026-03-15 15:52:03,19,2026-03-15 15:52:03
2026-03-15 15:52:07,56,2026-03-15 15:52:07
2026-03-15 15:52:11,104,2026-03-15 15:52:11
2026-03-15 16:52:03,16,2026-03-15 16:52:03
2026-03-15 16:52:07,44,2026-03-15 16:52:07
2026-03-15 16:52:11,94,2026-03-15 16:52:11
2026-03-15 17:52:04,19,2026-03-15 17:52:04
2026-03-15 17:52:09,65,2026-03-15 17:52:09
2026-03-15 17:52:14,119,2026-03-15 17:52:14
